PART_NUM,DEAL_REG_GROUP,START_DATE,END_DATE,ACTIVE_FLAG,ADD_DATE,MODIFIED_Date
SWPT004129,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004130,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004131,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004132,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004649,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004650,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004651,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004843,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004844,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004845,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004846,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004847,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004848,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004849,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004850,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004851,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004852,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT004853,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:24 PM,7/11/2019 5:02:24 PM
SWPT005536,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT005537,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT005538,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT005705,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
